set MFRS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set HORIZON := 1 2 3 4 5 6 7;

:             price[v,i,t] quant[v,i,t]    :=
HepB     17 7     0            0
HepB     18 1     0            0
HepB     18 2     0            0
HepB     18 3     0            0
HepB     18 4     0            0
HepB     18 5     0            0
HepB     18 6     0            0
HepB     18 7     0            0
HepB     19 1     0            0
HepB     19 2     0            0
HepB     19 3     0            0
HepB     19 4     0            0
HepB     19 5     0            0
HepB     19 6     0            0
HepB     19 7     0            0
HepB     20 1     0            0
HepB     20 2     0            0
HepB     20 3     0            0
HepB     20 4     0            0
HepB     20 5     0            0
HepB     20 6     0            0
HepB     20 7     0            0
IPV      1  1     0            0
IPV      1  2     0            0
IPV      1  3     0            0
IPV      1  4     0            0
IPV      1  5     0            0
IPV      1  6     0            0
IPV      1  7     0            0
IPV      2  1     0            0
IPV      2  2     0            0
IPV      2  3     0            0
IPV      2  4     0            0
IPV      2  5     0            0
IPV      2  6     0            0
IPV      2  7     0            0
IPV      3  1     0            0
IPV      3  2     0            0
IPV      3  3     0            0
IPV      3  4     0            0
IPV      3  5     0            0
IPV      3  6     0            0
IPV      3  7     0            0
IPV      4  1     0            0
IPV      4  2     0            0
IPV      4  3     0            0
IPV      4  4     0            0
IPV      4  5     0            0
IPV      4  6     0            0
IPV      4  7     0            0
IPV      5  1     0            0
IPV      5  2     0            0
IPV      5  3     0            0
IPV      5  4     0            0
IPV      5  5     0            0
IPV      5  6     0            0
IPV      5  7     0            0
IPV      6  1     0            0
IPV      6  2     0            0
IPV      6  3     0            0
IPV      6  4     0            0
IPV      6  5     0            0
IPV      6  6     0            0
IPV      6  7     0            0
IPV      7  1     0            0
IPV      7  2     0            0
IPV      7  3     0            0
IPV      7  4     0            0
IPV      7  5     0            0
IPV      7  6     0            0
IPV      7  7     0            0
IPV      8  1     0            0
IPV      8  2     0            0
IPV      8  3     0            0
IPV      8  4     0            0
IPV      8  5     0            0
IPV      8  6     0            0
IPV      8  7     0            0
IPV      9  1     0            0
IPV      9  2     0            0
IPV      9  3     0            0
IPV      9  4     0            0
IPV      9  5     0            0
IPV      9  6     0            0
IPV      9  7     0            0
IPV      10 1     0            0
IPV      10 2     0            0
IPV      10 3     0            0
IPV      10 4     0            0
IPV      10 5     0            0
IPV      10 6     0            0
IPV      10 7     0            0
IPV      11 1     0            0
IPV      11 2     0            0
IPV      11 3     0            0
IPV      11 4     0            0
IPV      11 5     0            0
IPV      11 6     0            0
IPV      11 7     0            0
IPV      12 1     0            0
IPV      12 2     0            0
IPV      12 3     0            0
IPV      12 4     0            0
IPV      12 5     0            0
IPV      12 6     0            0
IPV      12 7     0            0
IPV      13 1     0            0
IPV      13 2     0            0
IPV      13 3     0            0
IPV      13 4     0            0
IPV      13 5     0            0
IPV      13 6     0            0
IPV      13 7     0            0
IPV      14 1     0            0
IPV      14 2     0            0
IPV      14 3     0            0
IPV      14 4     0            0
IPV      14 5     0            0
IPV      14 6     0            0
IPV      14 7     0            0
IPV      15 1     0            0
IPV      15 2     0            0
IPV      15 3     0            0
IPV      15 4     0            0
IPV      15 5     0            0
IPV      15 6     0            0
IPV      15 7     0            0
IPV      16 1     0            0
IPV      16 2     0            0
IPV      16 3     0            0
IPV      16 4     0            0
IPV      16 5     0            0
IPV      16 6     0            0
IPV      16 7     0            0
IPV      17 1     0            0
IPV      17 2     0            0
IPV      17 3     0            0
IPV      17 4     0            0
IPV      17 5     0            0
IPV      17 6     0            0
IPV      17 7     0            0
IPV      18 1     0            0
IPV      18 2     0            0
IPV      18 3     0            0
IPV      18 4     0            0
IPV      18 5     0            0
IPV      18 6     0            0
IPV      18 7     0            0
IPV      19 1     4.73         5.65165
IPV      19 2     0            0
IPV      19 3     4.73         5.58805
IPV      19 4     4.73         5.7813
IPV      19 5     0            0
IPV      19 6     0            0
IPV      19 7     4.73         6.11404
IPV      20 1     0            0
IPV      20 2     0            0
IPV      20 3     0            0
IPV      20 4     0            0
IPV      20 5     0            0
IPV      20 6     0            0
IPV      20 7     0            0
OPV      1  1     0            0
OPV      1  2     0            0
OPV      1  3     0            0
OPV      1  4     0            0
OPV      1  5     0            0
OPV      1  6     0            0
OPV      1  7     0            0
OPV      2  1     0            0
OPV      2  2     0            0
OPV      2  3     0            0
OPV      2  4     0            0
OPV      2  5     0            0
OPV      2  6     0            0
OPV      2  7     0            0
OPV      3  1     0            0
OPV      3  2     0            0
OPV      3  3     0            0
OPV      3  4     0            0
OPV      3  5     0            0
OPV      3  6     0            0
OPV      3  7     0            0
OPV      4  1     0            0
OPV      4  2     0            0
OPV      4  3     0            0
OPV      4  4     0            0
OPV      4  5     0            0
OPV      4  6     0            0
OPV      4  7     0            0
OPV      5  1     0            0
OPV      5  2     0            0
OPV      5  3     0            0
OPV      5  4     0            0
OPV      5  5     0            0
OPV      5  6     0            0
OPV      5  7     0            0
OPV      6  1     0            0
OPV      6  2     0            0
OPV      6  3     0            0
OPV      6  4     0            0
OPV      6  5     0            0
OPV      6  6     0            0
OPV      6  7     0            0
OPV      7  1     0            0
OPV      7  2     0            0
OPV      7  3     0            0
OPV      7  4     0            0
OPV      7  5     0            0
OPV      7  6     0            0
OPV      7  7     0            0
OPV      8  1     0            0
OPV      8  2     0            0
OPV      8  3     0            0
OPV      8  4     0            0
OPV      8  5     0            0
OPV      8  6     0            0
OPV      8  7     0            0
OPV      9  1     0            0
OPV      9  2     0            0
OPV      9  3     0            0
OPV      9  4     0            0
OPV      9  5     0            0
OPV      9  6     0            0
OPV      9  7     0            0
OPV      10 1     0            0
OPV      10 2     0            0
OPV      10 3     0            0
OPV      10 4     0            0
OPV      10 5     0            0
OPV      10 6     0            0
OPV      10 7     0            0
OPV      11 1     0            0
OPV      11 2     0            0
OPV      11 3     0            0
OPV      11 4     0            0
OPV      11 5     0            0
OPV      11 6     0            0
OPV      11 7     0            0
OPV      12 1     0            0
OPV      12 2     0            0
OPV      12 3     0            0
OPV      12 4     0            0
OPV      12 5     0            0
OPV      12 6     0            0
OPV      12 7     0            0
OPV      13 1     0            0
